collectTime,metrisValue
2020/3/16 7:01,2107
2020/3/16 7:11,2183
2020/3/16 7:21,2195
2020/3/16 7:31,2211
2020/3/16 7:41,2124
2020/3/16 7:51,2159
2020/3/16 8:01,2081
2020/3/16 8:11,2098
2020/3/16 8:21,2026
2020/3/16 8:31,2133
2020/3/16 8:41,2258
2020/3/16 8:51,1961
2020/3/16 9:01,1867
2020/3/16 9:11,1928
2020/3/16 9:21,2080
2020/3/16 9:31,2022
2020/3/16 9:41,2004
2020/3/16 9:51,1979
2020/3/16 10:01,2112
2020/3/16 10:11,1788
2020/3/16 10:21,1880
2020/3/16 10:31,1904
2020/3/16 10:41,1726
2020/3/16 10:51,1828
2020/3/16 11:01,1772
2020/3/16 11:11,1791
2020/3/16 11:21,1869
2020/3/16 11:31,1786
2020/3/16 11:41,1846
2020/3/16 11:51,1842
2020/3/16 12:01,1737
2020/3/16 12:11,1715
2020/3/16 12:21,1602
2020/3/16 12:31,1680
2020/3/16 12:41,1743
2020/3/16 12:51,1649
2020/3/16 13:01,1481
2020/3/16 13:11,1527
2020/3/16 13:21,1414
2020/3/16 13:31,1376
2020/3/16 13:41,1383
2020/3/16 13:51,1281
2020/3/16 14:01,1217
2020/3/16 14:11,1143
2020/3/16 14:21,1150
2020/3/16 14:31,1069
2020/3/16 14:41,926
2020/3/16 14:51,852
2020/3/16 15:01,873
2020/3/16 15:11,784
2020/3/16 15:21,649
2020/3/16 15:31,573
2020/3/16 15:41,508
2020/3/16 15:51,616
2020/3/16 16:01,537
2020/3/16 16:11,633
2020/3/16 16:21,582
2020/3/16 16:31,621
2020/3/16 16:41,552
2020/3/16 16:51,469
2020/3/16 17:01,426
2020/3/16 17:11,395
2020/3/16 17:21,325
2020/3/16 17:31,305
2020/3/16 17:41,254
2020/3/16 17:51,228
2020/3/16 18:01,183
2020/3/16 18:11,179
2020/3/16 18:21,175
2020/3/16 18:31,154
2020/3/16 18:41,158
2020/3/16 18:51,117
2020/3/16 19:01,117
2020/3/16 19:11,119
2020/3/16 19:21,123
2020/3/16 19:31,89
2020/3/16 19:41,142
2020/3/16 19:51,97
2020/3/16 20:01,98
2020/3/16 20:11,103
2020/3/16 20:21,112
2020/3/16 20:31,120
2020/3/16 20:41,113
2020/3/16 20:51,103
2020/3/16 21:01,124
2020/3/16 21:11,137
2020/3/16 21:21,109
2020/3/16 21:31,126
2020/3/16 21:41,164
2020/3/16 21:51,170
2020/3/16 22:01,225
2020/3/16 22:11,244
2020/3/16 22:21,361
2020/3/16 22:31,401
2020/3/16 22:41,472
2020/3/16 22:51,570
2020/3/16 23:01,596
2020/3/16 23:11,883
2020/3/16 23:21,967
2020/3/16 23:31,1054
2020/3/16 23:41,1049
2020/3/16 23:51,1183
2020/3/17 0:01,1186
2020/3/17 0:11,1452
2020/3/17 0:21,1564
2020/3/17 0:31,1672
2020/3/17 0:41,1672
2020/3/17 0:51,1837
2020/3/17 1:01,2057
2020/3/17 1:11,2249
2020/3/17 1:21,2300
2020/3/17 1:31,2446
2020/3/17 1:41,2562
2020/3/17 1:51,2544
2020/3/17 2:01,2801
2020/3/17 2:11,3331
2020/3/17 2:21,3088
